,region,neighbourhood,longitude,latitude,room_type,price,number_of_reviews,booking_activity,log_reviews
0,Central,Ratchathewi,100.54134,13.75983,Entire home/apt,1905,65,12,4.189654742026425
14,Central,Khlong Toei,100.56806,13.71516,Entire home/apt,1400,0,0,0.0
16,Central,Khlong Toei,100.59936,13.70719,Entire home/apt,1577,78,35,4.3694478524670215
19,Central,Vadhana,100.56137,13.74668,Entire home/apt,5034,287,16,5.662960480135946
22,Central,Vadhana,100.57003,13.74444,Private room,3775,3,1,1.3862943611198906
23,Central,Khlong Toei,100.57823,13.72097,Entire home/apt,2078,83,310,4.430816798843313
24,Central,Khlong Toei,100.59968,13.70441,Entire home/apt,1732,3,1,1.3862943611198906
25,Central,Ratchathewi,100.53308,13.75351,Entire home/apt,2000,76,102,4.343805421853684
26,Central,Ratchathewi,100.53268,13.7547,Entire home/apt,3082,0,0,0.0
32,Central,Vadhana,100.55603,13.74293,Entire home/apt,1659,212,158,5.3612921657094255
37,Central,Vadhana,100.57803,13.73224,Entire home/apt,1870,5,34,1.791759469228055
39,Central,Vadhana,100.55784,13.74464,Entire home/apt,1732,0,0,0.0
40,Central,Vadhana,100.59637,13.7137,Entire home/apt,1300,7,0,2.0794415416798357
50,Central,Khlong Toei,100.55179,13.73782,Entire home/apt,1490,11,349,2.4849066497880004
61,Central,Parthum Wan,100.52016,13.74814,Entire home/apt,2900,295,365,5.69035945432406
62,Central,Khlong Toei,100.5683,13.71513,Private room,2226,0,1,0.0
65,Central,Khlong Toei,100.57318,13.7281,Entire home/apt,1732,67,198,4.219507705176107
69,Central,Ratchathewi,100.55652,13.74902,Entire home/apt,866,94,223,4.553876891600541
76,Central,Khlong Toei,100.55237,13.74052,Entire home/apt,797,189,135,5.247024072160486
82,Central,Vadhana,100.56495,13.73816,Entire home/apt,1400,32,245,3.4965075614664802
83,Central,Vadhana,100.60171,13.7104,Entire home/apt,2355,19,9,2.995732273553991
86,Central,Vadhana,100.57191,13.73675,Entire home/apt,3740,18,321,2.9444389791664403
107,Central,Vadhana,100.58039,13.72873,Entire home/apt,2000,6,303,1.9459101490553132
120,Central,Vadhana,100.55996,13.73757,Entire home/apt,1485,206,235,5.332718793265369
135,Central,Parthum Wan,100.54102,13.74088,Entire home/apt,3097,120,311,4.795790545596741
147,Central,Vadhana,100.57099,13.73332,Entire home/apt,2220,58,19,4.07753744390572
150,Central,Vadhana,100.58651,13.74283,Entire home/apt,1974,0,0,0.0
152,Central,Khlong Toei,100.57962,13.72242,Entire home/apt,1489,81,365,4.406719247264253
160,Central,Khlong Toei,100.58019,13.72062,Entire home/apt,1732,0,18,0.0
163,Central,Vadhana,100.56693,13.73668,Entire home/apt,4156,4,94,1.6094379124341003
165,Central,Khlong Toei,100.55488,13.73684,Entire home/apt,1500,0,0,0.0
173,Central,Khlong Toei,100.60152,13.70486,Entire home/apt,850,33,71,3.5263605246161616
177,Central,Khlong Toei,100.57647,13.72393,Entire home/apt,3300,26,352,3.295836866004329
201,Central,Khlong Toei,100.59326,13.71166,Entire home/apt,1143,31,276,3.4657359027997265
202,Central,Khlong Toei,100.59233,13.7142,Entire home/apt,866,0,0,0.0
203,Central,Ratchathewi,100.53301,13.74978,Entire home/apt,1009,113,308,4.736198448394496
209,Central,Parthum Wan,100.54792,13.74381,Entire home/apt,2250,92,295,4.532599493153256
217,Central,Ratchathewi,100.53552,13.75409,Entire home/apt,3587,0,95,0.0
218,Central,Khlong Toei,100.55934,13.73606,Entire home/apt,1845,129,29,4.867534450455582
220,Central,Vadhana,100.5865,13.73958,Entire home/apt,4720,252,18,5.53338948872752
221,Central,Vadhana,100.585,13.73862,Private room,1049,1,0,0.6931471805599453
222,Central,Parthum Wan,100.54235,13.74551,Entire home/apt,3500,1,365,0.6931471805599453
223,Central,Vadhana,100.58484,13.7214,Private room,1758,0,0,0.0
226,Central,Khlong Toei,100.56838,13.72468,Entire home/apt,3000,0,0,0.0
228,Central,Ratchathewi,100.52988,13.75156,Entire home/apt,1336,77,365,4.356708826689592
250,Central,Khlong Toei,100.57211,13.72635,Entire home/apt,2123,210,71,5.351858133476067
251,Central,Vadhana,100.60281,13.70714,Entire home/apt,2236,0,0,0.0
258,Central,Khlong Toei,100.55635,13.73833,Entire home/apt,1347,40,35,3.713572066704308
261,Central,Khlong Toei,100.55673,13.73892,Entire home/apt,1850,6,35,1.9459101490553132
262,Central,Vadhana,100.59918,13.70992,Shared room,712,1,10,0.6931471805599453
264,Central,Vadhana,100.58381,13.73767,Entire home/apt,1712,41,32,3.7376696182833684
277,Central,Vadhana,100.60112,13.70811,Shared room,400,4,0,1.6094379124341003
282,Central,Parthum Wan,100.5406,13.73982,Entire home/apt,1004,2,289,1.0986122886681098
301,Central,Khlong Toei,100.55957,13.72752,Entire home/apt,2000,65,188,4.189654742026425
318,Central,Khlong Toei,100.5804,13.71747,Hotel room,1300,1,0,0.6931471805599453
324,Central,Khlong Toei,100.56988,13.72699,Entire home/apt,2043,23,0,3.1780538303479458
325,Central,Khlong Toei,100.59998,13.70597,Private room,1050,1,7,0.6931471805599453
327,Central,Parthum Wan,100.53954,13.73954,Entire home/apt,1351,53,124,3.9889840465642745
330,Central,Vadhana,100.59001,13.71805,Entire home/apt,4429,0,0,0.0
336,Central,Vadhana,100.5564,13.74322,Entire home/apt,1212,61,353,4.127134385045092
338,Central,Vadhana,100.60072,13.708,Entire home/apt,1500,25,33,3.258096538021482
344,Central,Ratchathewi,100.53742,13.75285,Shared room,450,25,0,3.258096538021482
345,Central,Khlong Toei,100.5704,13.72582,Entire home/apt,990,27,25,3.332204510175204
352,Central,Parthum Wan,100.54409,13.74444,Entire home/apt,3436,19,36,2.995732273553991
356,Central,Vadhana,100.558998,13.746885,Entire home/apt,1380,238,276,5.476463551931511
357,Central,Vadhana,100.558998,13.746899,Entire home/apt,1150,218,276,5.389071729816501
359,Central,Vadhana,100.57353,13.73861,Entire home/apt,2000,34,170,3.5553480614894135
360,Central,Parthum Wan,100.54257,13.74373,Entire home/apt,3343,25,31,3.258096538021482
363,Central,Vadhana,100.57013,13.7427,Entire home/apt,1100,41,241,3.7376696182833684
364,Central,Vadhana,100.5633,13.74582,Entire home/apt,1850,159,0,5.075173815233827
365,Central,Vadhana,100.5954,13.73094,Private room,630,45,16,3.828641396489095
367,Central,Vadhana,100.59591,13.73053,Hotel room,859,35,16,3.58351893845611
368,Central,Vadhana,100.59549,13.73198,Private room,800,12,201,2.5649493574615367
369,Central,Khlong Toei,100.59164,13.70991,Entire home/apt,800,130,99,4.875197323201151
370,Central,Vadhana,100.58466,13.73537,Entire home/apt,3071,50,183,3.9318256327243257
372,Central,Khlong Toei,100.57832,13.72402,Entire home/apt,2036,20,26,3.044522437723423
377,Central,Vadhana,100.55718,13.74474,Private room,1250,1,186,0.6931471805599453
381,Central,Khlong Toei,100.57892,13.71762,Private room,5000,0,7,0.0
385,Central,Parthum Wan,100.543,13.74468,Private room,1586,15,3,2.772588722239781
388,Central,Vadhana,100.59577,13.73256,Hotel room,650,24,16,3.2188758248682006
389,Central,Ratchathewi,100.53277,13.75018,Entire home/apt,1150,73,52,4.30406509320417
392,Central,Khlong Toei,100.58523,13.71097,Private room,1000,0,3,0.0
395,Central,Khlong Toei,100.598396,13.706226,Entire home/apt,1436,37,155,3.6375861597263857
407,Central,Parthum Wan,100.5283,13.74763,Private room,2000,20,35,3.044522437723423
409,Central,Parthum Wan,100.53352,13.74124,Hotel room,4258,0,0,0.0
410,Central,Khlong Toei,100.59999,13.70408,Entire home/apt,2078,0,184,0.0
412,Central,Parthum Wan,100.54616,13.74699,Entire home/apt,3500,70,1,4.2626798770413155
419,Central,Vadhana,100.56407,13.73784,Entire home/apt,700,0,361,0.0
422,Central,Vadhana,100.58525,13.73826,Private room,2000,0,0,0.0
424,Central,Vadhana,100.56804,13.74521,Private room,1682,3,0,1.3862943611198906
425,Central,Vadhana,100.58774,13.72792,Private room,3500,0,0,0.0
426,Central,Vadhana,100.58755,13.72815,Private room,3500,0,0,0.0
440,Central,Vadhana,100.59043,13.73078,Entire home/apt,3000,0,0,0.0
448,Central,Vadhana,100.57397,13.73359,Entire home/apt,2220,33,19,3.5263605246161616
449,Central,Ratchathewi,100.5556,13.75059,Entire home/apt,1590,63,10,4.1588830833596715
454,Central,Khlong Toei,100.60015,13.70527,Entire home/apt,1108,44,142,3.8066624897703196
459,Central,Vadhana,100.55798,13.74011,Entire home/apt,2147,2,1,1.0986122886681098
461,Central,Khlong Toei,100.59778,13.70702,Entire home/apt,999,37,218,3.6375861597263857
463,Central,Vadhana,100.58628,13.74113,Private room,1000,0,365,0.0
472,Central,Vadhana,100.55807,13.73925,Entire home/apt,1385,22,3,3.1354942159291497
473,Central,Khlong Toei,100.57116,13.72228,Entire home/apt,1209,0,0,0.0
482,Central,Parthum Wan,100.54233,13.74674,Entire home/apt,4848,1,3,0.6931471805599453
483,Central,Ratchathewi,100.55641,13.75026,Entire home/apt,1629,73,166,4.30406509320417
485,Central,Khlong Toei,100.56259,13.73313,Private room,4871,7,1,2.0794415416798357
486,Central,Khlong Toei,100.56259,13.73313,Private room,4871,27,1,3.332204510175204
488,Central,Khlong Toei,100.55193,13.73701,Entire home/apt,990,63,9,4.1588830833596715
490,Central,Vadhana,100.56986,13.74393,Private room,1800,0,0,0.0
494,Central,Vadhana,100.558998,13.746896,Entire home/apt,1725,188,276,5.241747015059643
501,Central,Vadhana,100.57176,13.73444,Private room,1200,0,185,0.0
504,Central,Vadhana,100.58305,13.7322,Entire home/apt,1250,75,41,4.330733340286331
505,Central,Parthum Wan,100.52725,13.74696,Entire home/apt,1000,113,95,4.736198448394496
509,Central,Ratchathewi,100.53823,13.76289,Entire home/apt,1143,0,0,0.0
511,Central,Ratchathewi,100.53685,13.75202,Shared room,970,12,22,2.5649493574615367
512,Central,Ratchathewi,100.53677,13.75183,Shared room,381,105,43,4.663439094112067
514,Central,Parthum Wan,100.54344,13.73939,Entire home/apt,3271,89,17,4.499809670330265
515,Central,Ratchathewi,100.53687,13.75212,Shared room,450,10,0,2.3978952727983707
517,Central,Ratchathewi,100.53688,13.75193,Shared room,346,9,3,2.302585092994046
519,Central,Ratchathewi,100.53686,13.75195,Shared room,416,50,0,3.9318256327243257
534,Central,Parthum Wan,100.54015,13.73924,Entire home/apt,2995,153,292,5.0369526024136295
542,Central,Parthum Wan,100.54369,13.74371,Private room,1943,7,0,2.0794415416798357
543,Central,Vadhana,100.56985,13.74339,Private room,1943,2,180,1.0986122886681098
545,Central,Khlong Toei,100.59748,13.70837,Entire home/apt,650,40,49,3.713572066704308
555,Central,Khlong Toei,100.55255,13.73763,Entire home/apt,1500,66,111,4.204692619390966
556,Central,Khlong Toei,100.60011,13.7062,Entire home/apt,949,63,65,4.1588830833596715
563,Central,Parthum Wan,100.54311,13.74465,Private room,1986,2,3,1.0986122886681098
569,Central,Khlong Toei,100.59931,13.70824,Entire home/apt,806,106,94,4.672828834461906
570,Central,Ratchathewi,100.54342,13.7556,Entire home/apt,1657,31,1,3.4657359027997265
